shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,LINK_ID,osmid,shstRefId
940001,44.95187,-93.153753,90053,390882,"76535448,118479876",0adf5f62383ff99cbdd58e9b42d36279
940001,44.951854,-93.156998,90054,390882,"76535448,118479876",0adf5f62383ff99cbdd58e9b42d36279
940001,44.951806,-93.159421,90055,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.95175,-93.161515,90056,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.951753,-93.163111,90057,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.951737,-93.164714,90058,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.951721,-93.166612,90059,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.951781,-93.169083,90060,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.951952,-93.173056,90061,398173,118479819,9e9a24e588679faaaa791a80e10ebfa9
940001,44.952002,-93.174818,90062,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952008,-93.176183,90063,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.951982,-93.177186,90064,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952031,-93.178304,90065,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952061,-93.178839,90066,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952108,-93.179268,90067,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952161,-93.179653,90068,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952241,-93.180096,90069,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952349,-93.180558,90070,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.95245300000001,-93.180967,90071,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952661,-93.181653,90072,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.952973,-93.182568,90073,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.954051,-93.185952,90074,398153,"74215747,74215701,118479814",d86508b4de4154b20ddc721d0b3b0a46
940001,44.954916,-93.188508,90075,392627,74215701,609acc86a8c4b627c3380b8b1128f226
940001,44.957798,-93.196865,90076,392627,74215701,609acc86a8c4b627c3380b8b1128f226
