stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,N,OSMID
53176,,Hudson Rd & Century Ave N,Near side W,44.949108,-92.984716,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53176,0,1,driveNode105483,188401141
53177,,Hudson Rd & Century Ave N,Far side E,44.949031,-92.984815,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53177,0,2,driveNode105483,188401141
5318,,White Bear Ave & Frost Ave,Near side N,44.999054,-93.025152,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5318,0,1,driveNode138878,579104287
53184,,46th St W & Lyndale Ave S,Near side W,44.919616,-93.28820400000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53184,0,1,driveNode31714,34636530
5319,,White Bear Ave & Flandrau St,Across from N,45.000851000000004,-93.025126,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5319,0,1,driveNode88610,187917034
53199,,Medicine Lake Rd & Aquila Ave N,Near side E,45.007356,-93.388715,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53199,0,1,driveNode32427,34648411
532,,Vernon Ave & Olinger Blvd,Near side E,44.898839,-93.38128499999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=532,0,1,driveNode133268,271055146
53200,,Medicine Lake Rd & Xylon Ave N,Near side E,45.007335999999995,-93.385841,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53200,0,1,driveNode32394,34647600
53201,,Medicine Lake Rd & Virginia / Winnetka,Mid block E,45.007302,-93.382778,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53201,0,1,driveNode7830,33333753
53202,,Medicine Lake Rd & Virginia Ave,Near side W,45.007414000000004,-93.383811,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53202,0,1,driveNode7842,33333815
53203,,Medicine Lake Rd & Zealand Ave,Near side W,45.007453000000005,-93.387687,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53203,0,1,driveNode31942,34640458
53204,,Medicine Lake Rd & Boone Ave,Near side W,45.00748,-93.39019300000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53204,0,1,driveNode23893,34183132
53217,,Walmart & Main Entrances,Mid block N,45.099709999999995,-93.387718,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53217,0,1,driveNode29450,34536893
5322,,White Bear Ave & Flandrau St,Near side S,45.001032,-93.025273,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5322,0,1,driveNode88610,187917034
53222,,Starlite Transit Center & Gate A,Near side S,45.09329,-93.379526,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53222,0,1,driveNode169650,6026115380
53223,,Starlite Transit Center & Gate B,Near side N,45.093625,-93.37907299999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53223,0,1,driveNode169650,6026115380
53224,,Starlite Transit Center & Gate C,Near side N,45.093569,-93.379081,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53224,0,1,driveNode169650,6026115380
5323,,White Bear Ave & Frost Ave,Near side S,44.999235,-93.025284,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5323,0,1,driveNode138879,579104297
53231,,Medtronic & Main Entrance,Near side S,45.119054999999996,-93.198695,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53231,0,1,driveNode89920,187930022
53232,,Wayzata Blvd S & Texas Ave,Near side E,44.971061999999996,-93.380291,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53232,0,1,driveNode12477,33387767
53233,,Wayzata Blvd S & Pennsylvania Ave,Near side E,44.970921999999995,-93.37631999999999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53233,0,1,driveNode26966,34396420
53236,,42nd Ave N & Gettysburg Ave,Near side W,45.033537,-93.395401,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53236,0,1,driveNode141166,682948184
53237,,42nd Ave N & Flag Ave N,Near side E,45.033425,-93.39504000000001,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=53237,0,1,driveNode141168,682948188
