fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_raw_name,agency_id
201113,9.0,USD,1.0,,,Capitol_2017_3_20,
201114,12.0,USD,1.0,,,Capitol_2017_3_20,
201115,15.0,USD,1.0,,,Capitol_2017_3_20,
201116,16.0,USD,1.0,,,Capitol_2017_3_20,
201117,16.0,USD,1.0,,,Capitol_2017_3_20,
201118,9.0,USD,1.0,,,Capitol_2017_3_20,
201119,12.0,USD,1.0,,,Capitol_2017_3_20,
201120,15.0,USD,1.0,,,Capitol_2017_3_20,
201121,16.0,USD,1.0,,,Capitol_2017_3_20,
201122,16.0,USD,1.0,,,Capitol_2017_3_20,
201123,10.0,USD,1.0,,,Capitol_2017_3_20,
201124,13.0,USD,1.0,,,Capitol_2017_3_20,
201125,14.0,USD,1.0,,,Capitol_2017_3_20,
201126,15.0,USD,1.0,,,Capitol_2017_3_20,
201127,10.0,USD,1.0,,,Capitol_2017_3_20,
201128,13.0,USD,1.0,,,Capitol_2017_3_20,
201129,14.0,USD,1.0,,,Capitol_2017_3_20,
201130,15.0,USD,1.0,,,Capitol_2017_3_20,
201131,10.0,USD,1.0,,,Capitol_2017_3_20,
201132,11.0,USD,1.0,,,Capitol_2017_3_20,
201133,12.0,USD,1.0,,,Capitol_2017_3_20,
201134,10.0,USD,1.0,,,Capitol_2017_3_20,
201135,11.0,USD,1.0,,,Capitol_2017_3_20,
201136,12.0,USD,1.0,,,Capitol_2017_3_20,
201137,6.0,USD,1.0,,,Capitol_2017_3_20,
201138,8.5,USD,1.0,,,Capitol_2017_3_20,
201139,6.0,USD,1.0,,,Capitol_2017_3_20,
201140,8.5,USD,1.0,,,Capitol_2017_3_20,
201141,6.0,USD,1.0,,,Capitol_2017_3_20,
201142,6.0,USD,1.0,,,Capitol_2017_3_20,
200853,9.5,USD,1.0,,,Capitol_2017_3_20,
200854,11.0,USD,1.0,,,Capitol_2017_3_20,
200855,16.0,USD,1.0,,,Capitol_2017_3_20,
200856,18.0,USD,1.0,,,Capitol_2017_3_20,
200857,26.0,USD,1.0,,,Capitol_2017_3_20,
200858,31.0,USD,1.0,,,Capitol_2017_3_20,
200859,35.0,USD,1.0,,,Capitol_2017_3_20,
200860,35.0,USD,1.0,,,Capitol_2017_3_20,
200861,35.0,USD,1.0,,,Capitol_2017_3_20,
200862,39.0,USD,1.0,,,Capitol_2017_3_20,
200863,35.0,USD,1.0,,,Capitol_2017_3_20,
200864,35.0,USD,1.0,,,Capitol_2017_3_20,
200865,39.0,USD,1.0,,,Capitol_2017_3_20,
200866,43.0,USD,1.0,,,Capitol_2017_3_20,
200867,43.0,USD,1.0,,,Capitol_2017_3_20,
200868,43.0,USD,1.0,,,Capitol_2017_3_20,
200869,43.0,USD,1.0,,,Capitol_2017_3_20,
200870,9.5,USD,1.0,,,Capitol_2017_3_20,
200871,11.0,USD,1.0,,,Capitol_2017_3_20,
200872,16.0,USD,1.0,,,Capitol_2017_3_20,
200873,18.0,USD,1.0,,,Capitol_2017_3_20,
200874,26.0,USD,1.0,,,Capitol_2017_3_20,
200875,31.0,USD,1.0,,,Capitol_2017_3_20,
200876,35.0,USD,1.0,,,Capitol_2017_3_20,
200877,35.0,USD,1.0,,,Capitol_2017_3_20,
200878,35.0,USD,1.0,,,Capitol_2017_3_20,
200879,39.0,USD,1.0,,,Capitol_2017_3_20,
200880,35.0,USD,1.0,,,Capitol_2017_3_20,
200881,35.0,USD,1.0,,,Capitol_2017_3_20,
200882,39.0,USD,1.0,,,Capitol_2017_3_20,
200883,43.0,USD,1.0,,,Capitol_2017_3_20,
200884,43.0,USD,1.0,,,Capitol_2017_3_20,
200885,43.0,USD,1.0,,,Capitol_2017_3_20,
200886,43.0,USD,1.0,,,Capitol_2017_3_20,
200887,8.5,USD,1.0,,,Capitol_2017_3_20,
200888,12.0,USD,1.0,,,Capitol_2017_3_20,
200889,16.0,USD,1.0,,,Capitol_2017_3_20,
200890,24.0,USD,1.0,,,Capitol_2017_3_20,
200891,29.0,USD,1.0,,,Capitol_2017_3_20,
200892,31.0,USD,1.0,,,Capitol_2017_3_20,
200893,31.0,USD,1.0,,,Capitol_2017_3_20,
200894,32.0,USD,1.0,,,Capitol_2017_3_20,
200895,36.0,USD,1.0,,,Capitol_2017_3_20,
200896,35.0,USD,1.0,,,Capitol_2017_3_20,
200897,35.0,USD,1.0,,,Capitol_2017_3_20,
200898,35.0,USD,1.0,,,Capitol_2017_3_20,
200899,39.0,USD,1.0,,,Capitol_2017_3_20,
200900,43.0,USD,1.0,,,Capitol_2017_3_20,
200901,43.0,USD,1.0,,,Capitol_2017_3_20,
200902,43.0,USD,1.0,,,Capitol_2017_3_20,
200903,8.5,USD,1.0,,,Capitol_2017_3_20,
200904,12.0,USD,1.0,,,Capitol_2017_3_20,
200905,16.0,USD,1.0,,,Capitol_2017_3_20,
200906,24.0,USD,1.0,,,Capitol_2017_3_20,
200907,29.0,USD,1.0,,,Capitol_2017_3_20,
200908,31.0,USD,1.0,,,Capitol_2017_3_20,
200909,31.0,USD,1.0,,,Capitol_2017_3_20,
200910,32.0,USD,1.0,,,Capitol_2017_3_20,
200911,36.0,USD,1.0,,,Capitol_2017_3_20,
200912,35.0,USD,1.0,,,Capitol_2017_3_20,
200913,35.0,USD,1.0,,,Capitol_2017_3_20,
200914,35.0,USD,1.0,,,Capitol_2017_3_20,
200915,39.0,USD,1.0,,,Capitol_2017_3_20,
200916,43.0,USD,1.0,,,Capitol_2017_3_20,
200917,43.0,USD,1.0,,,Capitol_2017_3_20,
200918,43.0,USD,1.0,,,Capitol_2017_3_20,
200919,11.0,USD,1.0,,,Capitol_2017_3_20,
200920,14.0,USD,1.0,,,Capitol_2017_3_20,
200921,20.0,USD,1.0,,,Capitol_2017_3_20,
200922,27.0,USD,1.0,,,Capitol_2017_3_20,
200923,31.0,USD,1.0,,,Capitol_2017_3_20,
200924,31.0,USD,1.0,,,Capitol_2017_3_20,
200925,32.0,USD,1.0,,,Capitol_2017_3_20,
200926,36.0,USD,1.0,,,Capitol_2017_3_20,
1,2.0,USD,0.0,,7200.0,CCTA_2015_8_11,
3,0.0,USD,0.0,,7200.0,CCTA_2015_8_11,
2,2.25,USD,0.0,,7200.0,CCTA_2015_8_11,
1739,0.0,USD,0.0,,,Emeryville_2016_10_26,573.0
local,2.0,USD,0.0,2,14400.0,MarinTransit_2015_8_31,
mws,5.0,USD,1.0, ,86400.0,MarinTransit_2015_8_31,
1676,0.0,USD,0.0,,,MVGo_2016_10_26,533.0
1267,1.5,USD,0.0,,3600.0,petalumatransit-petaluma-ca-us__11_12_15,267.0
254,1.75,USD,0.0,,,RioVista_2015_8_20,5.0
255,6.0,USD,0.0,,,RioVista_2015_8_20,5.0
OW_Adult_20130616,2.0,USD,0.0,0,,SamTrans_2015_8_20,
