stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,model_node_id,osm_node_id,node_ssid,parent_station
10236,,7th St W & Grand Ave,Far side N,44.941497,-93.10635,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10236,0,1.0,68929,187917971,f72fd3201bdf246b6d8acaa47d9bcb65,
10238,,7th St W & Chestnut St,Near side N,44.943285,-93.104086,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10238,0,1.0,53517,187880954,281e60942d8d12f665d1ae835ea6658f,
10358,,7th St W & Walnut St,Near side S,44.942659,-93.105186,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10358,0,1.0,66953,187912474,281e60942d8d12f665d1ae835ea6658f,
10359,,7th St W & Grand Ave,Near side S,44.941392,-93.106818,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10359,0,1.0,52618,187879146,ad18dd49bf64931f41d0eebbbb149a35,
10361,,7th St W & Smith Ave,Near side S,44.939736,-93.109252,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10361,0,1.0,57601,187890778,9ec51322e21a696313930cd7153d64e4,
10363,,7th St W & Dousman St,Near side S,44.937611,-93.112404,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10363,0,1.0,52542,187879008,48319024ddc14a1cb86c55a2d9199ae7,
10364,,7th St W & Goodhue St,Near side S,44.936416,-93.114109,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10364,0,1.0,68932,187917979,eb19bf2a14cb331c38d9de80dbf3a3df,
10366,,7th St W & St Clair Ave,Near side S,44.934218,-93.117369,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10366,0,1.0,68940,187918029,89bfcd4ff66256d460430e35ee343869,
10467,,Rice St & Cottage Ave,Far side S,44.982646,-93.105962,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10467,0,1.0,71838,187926851,397fafb29a64c60653046faad3cfda26,
10468,,Rice St & Ivy Ave,Near side S,44.981077,-93.105967,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10468,0,1.0,44480,187863636,a9d5355847bd47b27aac94ecdccf9cb3,
10470,,Rice St & Orange Ave,Near side S,44.979269,-93.105979,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10470,0,1.0,68478,187916437,3444de0e1a7001c7175ad7a95e628a3b,
10471,,Rice St & Maryland Ave,Near side S,44.977474,-93.105995,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10471,0,1.0,49783,187873496,e19009e992d3a7f506a7df530316ce06,
10473,,Rice St & Geranium Ave,Near side S,44.975737,-93.106008,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10473,0,1.0,57799,187891077,7dc73d8eaeff5dbe839148ed630d26b6,
10474,,Rice St & Jessamine Ave,Near side S,44.974522,-93.106013,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10474,0,1.0,76998,187942128,37f36bd79fe7e0f1294ebcc6f030eb78,
10476,,Rice St & Lawson Ave,Near side S,44.972118,-93.106028,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10476,0,1.0,42821,187860463,5c7215418b66e71deec76c3936bb1ec3,
10479,,Rice St & Litchfield St,Across from S,44.969605,-93.106039,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10479,0,1.0,77776,187944058,2278de3fefe6a6857d4e03cd51bdfbe6,
10480,,Rice St & Milford St,Near side S,44.967901,-93.10602,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10480,0,1.0,71140,187924470,0df0381be248860f656c6b6232a506b7,
10481,,Rice St & Atwater St,Near side S,44.966705,-93.106014,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10481,0,1.0,72221,187927985,5def7ab94e0559960f619d008fd868fc,
10482,,Rice St & Sycamore St,Near side S,44.96491,-93.105999,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10482,0,1.0,78332,187945180,2be9e851da1193cddc443007673bae6d,
10483,,Rice St & Pennsylvania Ave,Near side S,44.960507,-93.106018,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10483,0,1.0,57528,187890613,ca9d1e9dba2c0e666c06c6b95465ca33,
10484,,Rice St & Como Ave,Near side S,44.959091,-93.106016,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10484,0,1.0,82056,187953343,6cc2469729fa8734335e9053ab9ba811,
